;NAME;EXECUTION_CPU_1;EXECUTION_DRAM_1;implementation;number;EXECUTION_DURATION
64;micropython_binarytrees_3;32.451324462890625;3.4879684448242188;micropython;3;0.395859956741333
65;nuitka_binarytrees_3;508.83770751953125;56.48497772216797;nuitka;3;4.733124017715454
66;numba2_binarytrees_3;695.213623046875;74.9366226196289;numba2;3;6.209788084030151
67;numba3_binarytrees_3;581.7553405761719;63.80412292480469;numba3;3;5.376838207244873
68;pypy2_binarytrees_3;468.1001892089844;56.45027160644531;pypy2;3;5.104249000549316
69;pypy3_binarytrees_3;439.6567687988281;49.20752716064453;pypy3;3;4.09718918800354
70;cpython2_binarytrees_3;476.2738952636719;52.11186218261719;cpython2;3;4.504348039627075
71;cpython3_binarytrees_3;526.9219055175781;60.82354736328125;cpython3;3;4.737980842590332
72;stacklesspython2_binarytrees_4;469.5196838378906;52.032310485839844;stacklesspython2;4;4.437435865402222
73;stacklesspython3_binarytrees_4;526.757080078125;58.43653106689453;stacklesspython3;4;5.017925024032593
74;intelpython2_binarytrees_4;439.208740234375;48.26039123535156;intelpython2;4;4.089173793792725
75;intelpython3_binarytrees_4;559.9084167480469;61.844482421875;intelpython3;4;5.2805469036102295
76;activepython_binarytrees_4;450.4677734375;49.744346618652344;activepython;4;4.3017919063568115
77;cython2_binarytrees_4;510.26849365234375;55.813011169433594;cython2;4;4.788339138031006
78;cython_binarytrees_4;513.9512939453125;56.25526428222656;cython;4;4.774564981460571
79;graalpython_binarytrees_4;36.09808349609375;4.485450744628906;graalpython;4;0.4499998092651367
80;ipy_binarytrees_4;10.97869873046875;1.1625213623046875;ipy;4;0.22049999237060547
81;jython_binarytrees_4;12.758697509765625;1.3534774780273438;jython;4;0.2390000820159912
82;micropython_binarytrees_4;31.5670166015625;3.50396728515625;micropython;4;0.3979759216308594
83;nuitka_binarytrees_4;475.7793884277344;52.48638153076172;nuitka;4;4.541014909744263
84;numba2_binarytrees_4;732.7319030761719;78.43185424804688;numba2;4;6.528830051422119
85;numba3_binarytrees_4;637.2710876464844;69.81771087646484;numba3;4;5.881038188934326
86;pypy2_binarytrees_4;476.97686767578125;57.922332763671875;pypy2;4;5.152441024780273
87;pypy3_binarytrees_4;441.3359680175781;49.76271057128906;pypy3;4;4.082582950592041
88;cpython2_binarytrees_4;480.8552551269531;53.485877990722656;cpython2;4;4.558479070663452
89;cpython3_binarytrees_4;522.0455017089844;57.31404113769531;cpython3;4;4.899943113327026
